Producto;Nombre_Imagen;Categoria;Presentacion
Antioqueño Azul 1 Lt.;antioquenoazul1lt;aguardientes;Botella 1 Litro
Antioqueño Azul 750ml;antioquenoazul750ml;aguardientes;Botella 750ml
Antioqueño Azul 375ml;antioquenoazul375ml;aguardientes;Botella 375ml
Caña Manabita 750ml;canamanabita750ml;aguardientes;Botella 750ml
Caña Manabita 375ml;canamanabita375ml;aguardientes;Botella 375ml
Cantaclaro 750ml;cantaclaro750ml;aguardientes;Botella 750ml
Cantaclaro 375ml;cantaclaro375ml;aguardientes;Botella 375ml
Cristal 1960 750ml;cristal1960750ml;aguardientes;Botella 750ml
Cristal 1960 C 375ml;cristal1960c375ml;aguardientes;Botella 375ml
Cristal Mundialista 750ml;cristalmundialista750ml;aguardientes;Botella 750ml
Norteño 750ml;norteno750ml;aguardientes;Botella 750ml
Norteño Black 750ml;nortenoblack750ml;aguardientes;Botella 750ml
Norteño Garrafa;nortenogarrafa;aguardientes;Garrafa Plástica
Del Monte 750ml;delmonte750ml;aguardientes;Botella 750ml
Pájaro Azul N 750ml;pajaroazuln750ml;aguardientes;Botella 750ml
Pájaro Azul N 375ml;pajaroazuln375ml;aguardientes;Botella 375ml
Pedrito Coco 750ml;pedritococo750ml;aguardientes;Botella 750ml
Pedrito Coco 375ml;pedritococo375ml;aguardientes;Botella 375ml
Zamarro 40° 750ml;zamarro40750ml;aguardientes;Botella 750ml
Trópico Seco 350ml;tropicoseco350ml;aguardientes;Botella 350ml
Zhumir Roja 1750ml;zhumirroja1750ml;aguardientes;Botella 1.75 Litros
Zhumir Roja 1 Lt.;zhumirroja1lt;aguardientes;Botella 1 Litro
Zhumir Roja 350ml;zhumirroja350ml;aguardientes;Botella 350ml
Zhumir Roja N 700ml;zhumirrojan700ml;aguardientes;Botella 700ml
Zhumir Verde 700ml;zhumirverde700ml;aguardientes;Botella 700ml
Zhumir Canuto 750ml;zhumircanuto750ml;aguardientes;Botella 750ml
Zhumir Canuto 125ml;zhumircanuto125ml;aguardientes;Botella 125ml
;;;
Zhumir Coco N 700ml;zhumircocon700ml;aguardientes;Botella 700ml
;;;
Zhumir Durazno 350ml;zhumirdurazno350ml;aguardientes;Botella 350ml
Zhumir Durazno N 700ml;zhumirduraznon700ml;aguardientes;Botella 700ml
Zhumir Durazno N 350ml;zhumirduraznon350ml;aguardientes;Botella 350ml
Zhumir Garrafa;zhumirgarrafa;aguardientes;Garrafa Plástica
Zhumir Garrafa N;zhumirgarrafan;aguardientes;Garrafa Plástica
Zhumir Mango 700ml;zhumirmango700ml;aguardientes;Botella 700ml
Zhumir Naranjilla N 700ml;zhumirnaranjillan700ml;aguardientes;Botella 700ml
Zhumir Naranjilla N 350ml;zhumirnaranjillan350ml;aguardientes;Botella 350ml
;;;
Zhumir Seco 700ml;zhumirseco700ml;aguardientes;Botella 700ml
Zhumir Seco N 350ml;zhumirsecon350ml;aguardientes;Botella 350ml
Zhumir Tamarindo;zhumirtamarindo;aguardientes;Botella 700ml
Zhumir Watermelon 700ml;zhumirwatermelon700ml;aguardientes;Botella 700ml
Zhumir 125ml;zhumir125ml;aguardientes;Botella 125ml
593 Lager 600ml;593lager600ml;cervezas;Botella Retornable 600ml
Amstel 355ml;amstel355ml;cervezas;Botella/Lata 355ml
Biela 473ml;biela473ml;cervezas;Lata Grande 473ml
;;;
Club Lata 355ml;clublata355ml;cervezas;Lata 355ml
Club Lata 473ml;clublata473ml;cervezas;Lata Grande 473ml
Corona Extra 330ml;coronaextra330ml;cervezas;Botella 330ml
